Markers	Cm	LG
CmSNP00143	49.528	I
CmSNP00252	50.338	I
CmSNP00170	50.646	I
CmSNP01491	50.688	I
CmSNP00183	50.926	I
CmSNP00149	51.363	I
CmSNP00546	52.428	I
CmSNP00456	53.496	I
CmSNP00089	53.99	I
CmSNP00256	54.594	I
CmSNP00537	54.603	I
CmSNP01123	54.849	I
CmSI0526	54.972	I
CmSNP00081	54.986	I
CmSNP00778	55.02	I
CmSNP00641	55.419	I
CmSNP01111	55.423	I
CmSNP00162	55.652	I
CmSNP01273	56.152	I
CmSNP01190	56.593	I
CmSI0539	56.955	I
CmSNP01482	57.299	I
CmSI0735	57.638	I
CCallv2c47155_471	57.656	I
CmSNP00900	57.87	I
CmSNP00302	57.961	I
CmSI0762	58.013	I
CmSNP00313	58.454	I
CmSI0513	58.738	I
CmSNP00706	58.76	I
CmSI0362	58.813	I
CmSNP00078	58.855	I
CmSNP00103	58.896	I
CmSNP01075	58.926	I
CmSI0564_a	59.298	I
CmSI0735_a	59.451	I
CmSNP00270	59.678	I
CmSNP01159	60.074	I
CmSNP00196	60.281	I
CmSNP01284	60.714	I
CmSI0745_a	61.209	I
CmSNP00784	61.211	I
CmSNP00511	61.287	I
CmSI0744	61.751	I
CmSI0069	61.937	I
CmSNP00605	61.999	I
CmSNP00796	62.172	I
CmSNP00142	62.353	I
CmSNP00159	63.088	I
CmSNP00014	63.548	I
CmSI0933	64.428	I
CmSNP00126	70.122	I
CmSI0729	71.846	I
CmSI0797	72.453	I
CmSNP01167	73.113	I
CmSNP00702	73.527	I
CmSNP00213	73.957	I
CmSNP01361	74.756	I
CmSNP01116	75.077	I
CmSNP00628	75.52	I
CmSNP00619	76.896	I
CmSNP00073	78.15	I
CmSNP00247	80.998	I
CmSI0751	83.374	I
CmSNP01282	84.822	I
CmSNP01448	85.801	I
CmSNP01480	87.712	I
CmSNP01230	88.935	I
CmSNP01046	89.721	I
CmSNP01419	90.451	I
CCallv2c23658_1390	0	J
CCallv2c302_380	11.398	J
CmSNP00597	13.764	J
CmSNP00393	16.066	J
CCallv2c728_1814	18.767	J
CmSNP01417	24.425	J
CmSNP00146	29.085	J
CmSNP01223	31.588	J
CmSNP01231	32.043	J
CmSNP01214	32.993	J
CmSNP01502	34.352	J
CmSI0094	36.572	J
CmSNP00471	37.021	J
CmSNP00653	39.153	J
CmSNP01474	39.53	J
CmSI0538	40.2	J
CmSNP00321	41.189	J
CmSNP00326	41.836	J
CmSNP00644	42.475	J
CmSI0401	43.621	J
CmSNP00375	44.677	J
CmSNP00398	44.826	J
CmSNP00987	45.368	J
CmSNP00485	45.486	J
CmSNP00555	46.556	J
CmSNP00708	47.248	J
CmSNP00379	47.408	J
CmSNP00634	47.659	J
CmSNP00705	48.298	J
CmSNP01291	48.525	J
CmSNP00261	48.579	J
CmSNP00797	49.038	J
CmSNP00482	49.101	J
CmSNP01166	49.191	J
CmSNP00033	49.208	J
CmSNP00664	49.271	J
CmSNP00828	49.382	J
CmSNP00976	49.77	J
CmSNP00651	49.77	J
CmSNP01024	50.198	J
CmSNP00666	50.506	J
CmSNP00760	50.614	J
CmSNP01489	51.516	J
CmSI0740	51.661	J
CmSNP00224	51.861	J
CmSNP00023	51.978	J
CmSNP00518	52.036	J
CmSNP00633	52.276	J
CmSNP01194	52.335	J
CmSNP01304	52.382	J
CmSNP00389	52.581	J
CmSNP00474	52.633	J
CmSNP00443	53.281	J
CmSNP00232	53.381	J
CmSI0009	53.775	J
CmSNP01215	54.006	J
CmSNP00179	54.443	J
CmSNP00255	54.754	J
CmSNP00076	54.889	J
CmSNP00245	55.301	J
CmSI0932	55.414	J
CmSNP00467	55.712	J
CmSNP00177	56.151	J
CmSI0524	56.35	J
CmSNP01006	56.855	J
CmSNP00241	58.097	J
CmSNP01076	58.838	J
CmSI0919	59.421	J
CmSI0732	59.854	J
CmSNP00553	60.014	J
CmSI0911	60.466	J
CmSNP00093	61.938	J
CmSNP01022	62.2	J
CmSNP01431	62.364	J
CmSI0153	62.795	J
CCallv2c796_835	64.075	J
CCallv2c27487_484	64.127	J
CCallv2c6559_299	64.143	J
CmSNP00691	65.677	J
CCallv2c46827_380	66.375	J
CmSI0523	66.465	J
CmSNP00669	66.97	J
CmSI0414	67.171	J
CmSI0600	67.32	J
CmSI0811	67.94	J
CmSNP00043	68.415	J
CmSNP00745	68.593	J
CmSNP01528	68.965	J
CmSI0946	70.132	J
CmSNP00703	70.146	J
CCallv2c17639_1685	72.209	J
CCallv2c43025_1179	72.778	J
CCallv2c1112_69	74.736	J
CCallv2c15506_934	77.165	J
CCallv2c4163_300	77.977	J
CCallv2c1761_325	78.08	J
CCallv2c43385_410	79.623	J
CCallv2c14835_615	79.899	J
CCallv2c5675_850	79.912	J
CCallv2c12626_1519	81.619	J
CCallv2c17902_791	82.513	J
CCallv2c41928_277	86.074	J
CCallv2c9791_796	91.844	J
CCallv2c11126_457	92.185	J
CCallv2c25306_1210	0	K
CCallv2c2518_410	6.803	K
CCallv2c29248_292	13.926	K
CCallv2c44817_605	14.153	K
CmSI0760	15.38	K
CmSNP00085	16.081	K
CmSNP00674	16.288	K
CmSNP01535	17.81	K
CmSNP00447	20.561	K
CmSI0737	21.802	K
CmSI0433	23.732	K
CmSI0432_a	24.386	K
CmSI0771	25.169	K
CmSNP00008	25.625	K
CmSI0922	25.954	K
CmSNP00821	26.22	K
CmSI0361	26.41	K
CmSI0921	26.927	K
CmSNP00750	27.249	K
CmSNP00832	27.572	K
CmSNP00951	27.802	K
CmSNP01308	27.841	K
CmSNP00638	28.108	K
CmSNP01352	28.357	K
CmSNP01398	28.46	K
CmSNP00572	28.548	K
CmSNP00526	28.858	K
CmSNP00391	30.972	K
CmSNP00590	31.307	K
CmSI0901	33.526	K
CmSI0920	33.683	K
CCallv2c43146_1846	35.052	K
CmSNP00292	36.318	K
CmSNP00989	36.403	K
CmSNP01409	37.205	K
CmSNP00071	38.091	K
CmSI0123	38.319	K
CmSI0637	38.325	K
CmSNP00480	38.636	K
CmSNP01202	39.155	K
CmSNP00421	39.809	K
CmSNP00470	40.453	K
CmSI0813	40.944	K
CmSI0853	41.736	K
CmSNP01133	42.701	K
CmSNP01495	43.96	K
CmSNP00868	44.303	K
CmSI0460	46.472	K
CmSNP00035	46.878	K
CmSNP00860	46.972	K
CmSNP00452	47.792	K
CmSNP00781	48.12	K
CmSNP00212	48.357	K
CmSNP00545	48.54	K
CmSNP01262	48.542	K
CmSI0542	48.855	K
CmSNP00381	51.601	K
CmSNP01478	51.701	K
CmSNP01139	52.259	K
CmSNP00386	52.441	K
CmSNP00211	52.502	K
CmSI0752_a	54.495	K
CmSNP00408	54.497	K
CmSNP00112	54.909	K
CmSNP01147	55.102	K
CmSNP00197	55.151	K
CmSI0678	55.565	K
CmSNP01041	55.749	K
CmSI0611	55.941	K
CmSI0494	56.179	K
CmSNP01318	56.373	K
CmSNP00499	56.627	K
CmSNP01501	57.304	K
CmSNP01464	58.58	K
CmSI0276	58.675	K
CmSNP00731	60.125	K
CmSI0553_a	64.003	K
CmSI0819	64.356	K
CmSNP00903	64.869	K
CCallv2c18571_538	65.297	K
CmSNP01356	65.648	K
CCallv2c39533_743	67.1	K
CCallv2c31897_596	67.955	K
CmSNP00858	68.387	K
CCallv2c23967_2055	68.792	K
CmSI0327	69.75	K
CmSI0656	71.561	K
CmSNP00794	72.229	K
CmSI0759	75.606	K
CCallv2c3983_320	76.621	K
CCallv2c20518_549	76.621	K
CCallv2c6380_2254	78	K
CCallv2c38658_1038	82.07	K
CCallv2c23767_897	0	L
CCallv2c3431_274	3.225	L
CmSNP00234	16.155	L
CmSNP00352	17.07	L
CmSNP00396	17.874	L
CmSNP00282	18.021	L
CmSNP00812	18.604	L
CmSNP00108	20.213	L
CmSNP00130	20.439	L
CmSNP00711	21.32	L
CmSNP01089	21.642	L
CmSNP00861	23.128	L
CmSNP00202	24.554	L
CmSNP01377	25.434	L
CmSNP00904	25.787	L
CmSNP00377	25.82	L
CmSNP01079	26.375	L
CmSNP00901	26.826	L
CmSNP01336	27.845	L
CmSNP00737	29.445	L
CmSI0875	30.108	L
CCallv2c13678_577_a	30.278	L
CmSI0785	30.751	L
CmSNP00704	31.217	L
CmSNP01156	32.215	L
CmSI0572	32.306	L
CmSNP01061	32.547	L
CmSNP01205	33.045	L
CmSNP00790	33.074	L
CmSNP00102	33.429	L
CmSNP00543	35.733	L
CmSI0938	35.853	L
CmSNP01004	36.061	L
CmSI0503	36.242	L
CmSNP01451	36.532	L
CmSNP00935	36.77	L
CmSNP01319	37.073	L
CmSI0847	37.682	L
CmSNP00164	39.433	L
CmSNP00869	39.433	L
CmSNP01170	40.629	L
CmSNP00579	40.748	L
CmSNP01401	40.818	L
CmSNP01172	41.126	L
CmSNP01183	41.126	L
CmSNP00918	41.411	L
CmSNP01211	41.781	L
CmSNP01236	41.892	L
CmSNP00376	41.996	L
CmSNP01300	42.18	L
CmSNP00829	42.3	L
CmSNP01307	42.335	L
CmSNP01042	42.462	L
CmSNP00019	42.724	L
CmSNP00767	42.998	L
CmSNP00288	43.104	L
CmSNP00770	43.112	L
CmSI0071	43.198	L
CmSNP01140	43.974	L
CmSNP01243	44.022	L
CmSNP00215	44.191	L
CmSNP01290	45.153	L
CmSNP01132	45.176	L
CmSNP00894	45.679	L
CmSNP01405	46.056	L
CmSI0608	46.209	L
CmSNP01125	46.362	L
CmSNP01294	47.675	L
CmSNP01359	48.235	L
CmSNP00646	49.053	L
CmSNP00388	50.412	L
CCallv2c7591_207	53.602	L
CmSNP00329	54.829	L
CmSNP01449	55.138	L
CmSNP01454	57.731	L
CmSI0928	58.185	L
CCallv2c4650_878	58.326	L
CCallv2c46238_1576	58.688	L
CmSNP00385	59.11	L
CCallv2c19101_106	59.58	L
CCallv2c7068_1520	59.67	L
CmSNP00316	59.843	L
CCallv2c15196_1461	60.031	L
CCallv2c39524_550	60.119	L
CCallv2c4062_564	60.149	L
CCallv2c13359_727	60.351	L
CCallv2c926_700	60.757	L
CmSNP01391	61.451	L
CCallv2c19492_2127	63.955	L
CCallv2c3905_1505	63.955	L
CmSNP00856	64.082	L
CmSNP00284	64.082	L
CCallv2c48125_2771	64.53	L
CmSNP00665	64.956	L
CCallv2c19122_449	78.697	L
CCallv2c30907_501	84.084	L
CCallv2c3464_538	86.011	L
CCallv2c32217_689	92.708	L
CCallv2c19302_413	93.143	L
CCallv2c3931_461	93.59	L
