"","Chestnut_contig","gene_number"
"2881","contig0003103",3
"2882","contig0003104",5
"2883","contig0003105",5
"2884","contig0003106",10
"2885","contig0003107",6
"2886","contig0003108",3
"2887","contig0003109",4
"2888","contig0003110",7
"2889","contig0003111",8
"2890","contig0003112",3
"2891","contig0003113",8
"2892","contig0003114",4
"2893","contig0003115",2
"2894","contig0003116",6
"2895","contig0003118",4
"2896","contig0003119",7
"2897","contig0003120",7
"2898","contig0003121",11
"2899","contig0003122",4
"2900","contig0003123",8
"2901","contig0003124",5
"2902","contig0003125",7
"2903","contig0003126",6
"2904","contig0003127",5
"2905","contig0003128",5
"2906","contig0003129",6
"2907","contig0003130",2
"2908","contig0003131",9
"2909","contig0003132",6
"2910","contig0003133",10
"2911","contig0003134",6
"2912","contig0003135",3
"2913","contig0003136",3
"2914","contig0003137",6
"2915","contig0003138",7
"2916","contig0003139",3
"2917","contig0003140",2
"2918","contig0003141",11
"2919","contig0003142",3
"2920","contig0003143",8
"2921","contig0003144",9
"2922","contig0003145",3
"2923","contig0003146",3
"2924","contig0003147",3
"2925","contig0003148",3
"2926","contig0003149",5
"2927","contig0003150",4
"2928","contig0003152",3
"2929","contig0003153",9
"2930","contig0003154",6
"2931","contig0003155",5
"2932","contig0003156",9
"2933","contig0003157",4
"2934","contig0003158",5
"2935","contig0003159",5
"2936","contig0003160",4
"2937","contig0003161",6
"2938","contig0003162",7
"2939","contig0003163",7
"2940","contig0003164",6
"2941","contig0003165",6
"2942","contig0003166",8
"2943","contig0003167",5
"2944","contig0003169",5
"2945","contig0003170",10
"2946","contig0003171",9
"2947","contig0003172",11
"2948","contig0003173",5
"2949","contig0003174",3
"2950","contig0003175",6
"2951","contig0003176",8
"2952","contig0003177",5
"2953","contig0003178",5
"2954","contig0003179",4
"2955","contig0003180",8
"2956","contig0003181",1
"2957","contig0003182",5
"2958","contig0003183",5
"2959","contig0003184",4
"2960","contig0003185",8
"2961","contig0003186",10
"2962","contig0003188",4
"2963","contig0003189",3
"2964","contig0003190",4
"2965","contig0003191",6
"2966","contig0003192",4
"2967","contig0003193",7
"2968","contig0003194",7
"2969","contig0003195",4
"2970","contig0003196",6
"2971","contig0003197",5
"2972","contig0003198",5
"2973","contig0003199",4
"2974","contig0003200",9
"2975","contig0003201",7
"2976","contig0003202",10
"2977","contig0003203",6
"2978","contig0003204",9
"2979","contig0003205",3
"2980","contig0003206",5
"2981","contig0003207",11
"2982","contig0003208",11
"2983","contig0003209",5
"2984","contig0003210",2
"2985","contig0003211",5
"2986","contig0003212",6
"2987","contig0003213",5
"2988","contig0003214",3
"2989","contig0003215",1
"2990","contig0003216",5
"2991","contig0003217",4
"2992","contig0003218",7
"2993","contig0003219",2
"2994","contig0003220",9
"2995","contig0003221",6
"2996","contig0003222",9
"2997","contig0003223",7
"2998","contig0003224",7
"2999","contig0003225",7
"3000","contig0003226",5
"3001","contig0003227",9
"3002","contig0003228",3
"3003","contig0003229",4
"3004","contig0003230",3
"3005","contig0003231",5
"3006","contig0003232",8
"3007","contig0003233",4
"3008","contig0003234",4
"3009","contig0003235",7
"3010","contig0003236",9
"3011","contig0003237",3
"3012","contig0003238",10
"3013","contig0003239",4
"3014","contig0003240",2
"3015","contig0003241",3
"3016","contig0003242",8
"3017","contig0003243",6
"3018","contig0003244",5
"3019","contig0003245",4
"3020","contig0003246",2
"3021","contig0003247",6
"3022","contig0003248",1
"3023","contig0003249",3
"3024","contig0003250",5
"3025","contig0003251",6
"3026","contig0003252",8
"3027","contig0003253",8
"3028","contig0003254",7
"3029","contig0003255",4
"3030","contig0003256",7
"3031","contig0003257",5
"3032","contig0003258",5
"3033","contig0003259",8
"3034","contig0003260",4
"3035","contig0003261",6
"3036","contig0003263",8
"3037","contig0003264",3
"3038","contig0003265",7
"3039","contig0003266",4
"3040","contig0003267",7
"3041","contig0003268",1
"3042","contig0003269",5
"3043","contig0003270",4
"3044","contig0003271",6
"3045","contig0003272",4
"3046","contig0003273",9
"3047","contig0003274",5
"3048","contig0003275",7
"3049","contig0003276",5
"3050","contig0003277",10
"3051","contig0003278",7
"3052","contig0003279",1
"3053","contig0003280",2
"3054","contig0003281",5
"3055","contig0003282",4
"3056","contig0003283",3
"3057","contig0003284",1
"3058","contig0003285",4
"3059","contig0003286",4
"3060","contig0003287",5
"3061","contig0003288",4
"3062","contig0003289",2
"3063","contig0003290",1
"3064","contig0003291",8
"3065","contig0003292",4
"3066","contig0003293",5
"3067","contig0003294",6
"3068","contig0003295",5
"3069","contig0003296",2
"3070","contig0003297",2
"3071","contig0003298",6
"3072","contig0003299",4
"3073","contig0003300",7
"3074","contig0003301",3
"3075","contig0003302",7
"3076","contig0003304",11
"3077","contig0003305",6
"3078","contig0003306",6
"3079","contig0003307",9
"3080","contig0003308",8
"3081","contig0003309",4
"3082","contig0003310",6
"3083","contig0003311",5
"3084","contig0003312",4
"3085","contig0003313",8
"3086","contig0003314",1
"3087","contig0003315",7
"3088","contig0003316",7
"3089","contig0003317",7
"3090","contig0003318",8
"3091","contig0003319",7
"3092","contig0003320",3
"3093","contig0003321",2
"3094","contig0003322",5
"3095","contig0003323",7
"3096","contig0003324",3
"3097","contig0003325",8
"3098","contig0003326",4
"3099","contig0003327",8
"3100","contig0003328",7
"3101","contig0003329",4
"3102","contig0003330",6
"3103","contig0003331",4
"3104","contig0003332",3
"3105","contig0003333",4
"3106","contig0003334",7
"3107","contig0003335",7
"3108","contig0003336",4
"3109","contig0003337",3
"3110","contig0003338",5
"3111","contig0003339",4
"3112","contig0003340",4
"3113","contig0003341",10
"3114","contig0003342",6
"3115","contig0003343",4
"3116","contig0003344",4
"3117","contig0003345",5
"3118","contig0003346",4
"3119","contig0003347",8
"3120","contig0003348",3
"3121","contig0003349",5
"3122","contig0003350",5
"3123","contig0003351",4
"3124","contig0003352",4
"3125","contig0003353",4
"3126","contig0003354",5
"3127","contig0003355",2
"3128","contig0003356",4
"3129","contig0003357",3
"3130","contig0003358",6
"3131","contig0003359",4
"3132","contig0003360",3
"3133","contig0003361",3
"3134","contig0003362",3
"3135","contig0003363",7
"3136","contig0003364",6
"3137","contig0003365",2
"3138","contig0003366",2
"3139","contig0003367",4
"3140","contig0003368",10
"3141","contig0003369",4
"3142","contig0003370",8
"3143","contig0003371",6
"3144","contig0003372",11
"3145","contig0003373",1
"3146","contig0003374",5
"3147","contig0003375",5
"3148","contig0003376",4
"3149","contig0003377",5
"3150","contig0003378",4
"3151","contig0003379",6
"3152","contig0003380",8
"3153","contig0003381",3
"3154","contig0003382",3
"3155","contig0003383",7
"3156","contig0003384",3
"3157","contig0003385",7
"3158","contig0003386",7
"3159","contig0003387",6
"3160","contig0003388",13
"3161","contig0003389",7
"3162","contig0003390",6
"3163","contig0003391",7
"3164","contig0003393",3
"3165","contig0003394",9
"3166","contig0003395",4
"3167","contig0003396",7
"3168","contig0003397",4
"3169","contig0003398",5
"3170","contig0003399",3
"3171","contig0003400",4
"3172","contig0003401",4
"3173","contig0003402",8
"3174","contig0003403",3
"3175","contig0003404",7
"3176","contig0003405",4
"3177","contig0003406",3
"3178","contig0003407",5
"3179","contig0003408",4
"3180","contig0003409",11
"3181","contig0003410",3
"3182","contig0003411",7
"3183","contig0003412",7
"3184","contig0003413",9
"3185","contig0003414",6
"3186","contig0003415",7
"3187","contig0003416",1
"3188","contig0003417",3
"3189","contig0003418",5
"3190","contig0003419",5
"3191","contig0003420",4
"3192","contig0003421",5
"3193","contig0003422",7
"3194","contig0003423",4
"3195","contig0003424",3
"3196","contig0003425",8
"3197","contig0003426",5
"3198","contig0003427",6
"3199","contig0003428",8
"3200","contig0003429",6
"3201","contig0003430",3
"3202","contig0003431",5
"3203","contig0003432",4
"3204","contig0003433",5
"3205","contig0003434",2
"3206","contig0003435",4
"3207","contig0003436",8
"3208","contig0003437",6
"3209","contig0003438",10
"3210","contig0003439",9
"3211","contig0003440",2
"3212","contig0003441",8
"3213","contig0003442",3
"3214","contig0003443",3
"3215","contig0003445",8
"3216","contig0003446",4
"3217","contig0003447",8
"3218","contig0003448",9
"3219","contig0003449",4
"3220","contig0003450",2
"3221","contig0003451",5
"3222","contig0003452",5
"3223","contig0003453",6
"3224","contig0003454",3
"3225","contig0003455",6
"3226","contig0003456",2
"3227","contig0003457",1
"3228","contig0003458",6
"3229","contig0003459",6
"3230","contig0003460",2
"3231","contig0003461",9
"3232","contig0003462",4
"3233","contig0003463",8
"3234","contig0003464",8
"3235","contig0003465",5
"3236","contig0003466",9
"3237","contig0003467",3
"3238","contig0003468",3
"3239","contig0003469",4
"3240","contig0003470",2
"3241","contig0003471",5
"3242","contig0003472",8
"3243","contig0003473",6
"3244","contig0003474",4
"3245","contig0003475",2
"3246","contig0003476",9
"3247","contig0003477",11
"3248","contig0003478",5
"3249","contig0003479",9
"3250","contig0003480",9
"3251","contig0003481",3
"3252","contig0003482",5
"3253","contig0003483",6
"3254","contig0003484",3
"3255","contig0003485",6
"3256","contig0003486",5
"3257","contig0003487",4
"3258","contig0003488",3
"3259","contig0003489",7
"3260","contig0003490",4
"3261","contig0003491",6
"3262","contig0003492",8
"3263","contig0003493",3
"3264","contig0003494",4
"3265","contig0003495",4
"3266","contig0003496",10
"3267","contig0003497",4
"3268","contig0003498",2
"3269","contig0003499",3
"3270","contig0003500",1
"3271","contig0003501",8
"3272","contig0003502",8
"3273","contig0003503",8
"3274","contig0003504",2
"3275","contig0003505",5
"3276","contig0003506",4
"3277","contig0003507",11
"3278","contig0003508",5
"3279","contig0003509",6
"3280","contig0003510",5
"3281","contig0003511",6
"3282","contig0003512",3
"3283","contig0003513",3
"3284","contig0003514",7
"3285","contig0003515",6
"3286","contig0003516",10
"3287","contig0003517",4
"3288","contig0003518",6
"3289","contig0003519",5
"3290","contig0003520",2
"3291","contig0003521",4
"3292","contig0003522",8
"3293","contig0003523",4
"3294","contig0003524",6
"3295","contig0003525",4
"3296","contig0003526",3
"3297","contig0003527",3
"3298","contig0003528",4
"3299","contig0003529",6
"3300","contig0003530",6
"3301","contig0003531",2
"3302","contig0003532",8
"3303","contig0003533",10
"3304","contig0003534",6
"3305","contig0003535",3
"3306","contig0003536",6
"3307","contig0003537",6
"3308","contig0003538",4
"3309","contig0003539",2
"3310","contig0003540",5
"3311","contig0003541",5
"3312","contig0003542",6
"3313","contig0003543",9
"3314","contig0003544",5
"3315","contig0003545",5
"3316","contig0003546",5
"3317","contig0003547",10
"3318","contig0003548",3
"3319","contig0003549",4
"3320","contig0003550",3
"3321","contig0003551",5
"3322","contig0003552",2
"3323","contig0003553",3
"3324","contig0003554",9
"3325","contig0003555",4
"3326","contig0003556",3
"3327","contig0003557",5
"3328","contig0003558",4
"3329","contig0003559",4
"3330","contig0003560",4
"3331","contig0003561",10
"3332","contig0003562",5
"3333","contig0003563",3
"3334","contig0003564",2
"3335","contig0003565",6
"3336","contig0003566",7
"3337","contig0003567",4
"3338","contig0003568",5
"3339","contig0003569",3
"3340","contig0003570",4
"3341","contig0003571",6
"3342","contig0003572",3
"3343","contig0003573",4
"3344","contig0003574",3
"3345","contig0003575",8
"3346","contig0003576",4
"3347","contig0003577",10
"3348","contig0003578",4
"3349","contig0003579",7
"3350","contig0003580",6
"3351","contig0003581",5
"3352","contig0003582",8
"3353","contig0003583",1
"3354","contig0003585",8
"3355","contig0003586",3
"3356","contig0003587",3
"3357","contig0003588",9
"3358","contig0003589",6
"3359","contig0003590",6
"3360","contig0003591",6
"3361","contig0003592",3
"3362","contig0003593",4
"3363","contig0003594",3
"3364","contig0003595",5
"3365","contig0003596",6
"3366","contig0003597",1
"3367","contig0003598",3
"3368","contig0003599",4
"3369","contig0003600",4
"3370","contig0003601",4
"3371","contig0003602",4
"3372","contig0003603",1
"3373","contig0003604",5
"3374","contig0003606",5
"3375","contig0003607",6
"3376","contig0003608",7
"3377","contig0003609",5
"3378","contig0003610",6
"3379","contig0003611",3
"3380","contig0003612",3
"3381","contig0003614",3
"3382","contig0003615",4
"3383","contig0003616",7
"3384","contig0003617",9
"3385","contig0003618",7
"3386","contig0003619",4
"3387","contig0003620",4
"3388","contig0003621",2
"3389","contig0003622",4
"3390","contig0003623",4
"3391","contig0003624",5
"3392","contig0003625",5
"3393","contig0003626",3
"3394","contig0003627",3
"3395","contig0003628",4
"3396","contig0003630",7
"3397","contig0003631",7
"3398","contig0003632",8
"3399","contig0003633",5
"3400","contig0003634",3
"3401","contig0003635",5
"3402","contig0003636",3
"3403","contig0003637",6
"3404","contig0003639",4
"3405","contig0003640",6
"3406","contig0003641",6
"3407","contig0003642",4
"3408","contig0003643",3
"3409","contig0003644",7
"3410","contig0003645",6
"3411","contig0003646",4
"3412","contig0003647",10
"3413","contig0003648",7
"3414","contig0003649",5
"3415","contig0003650",6
"3416","contig0003651",4
"3417","contig0003652",6
"3418","contig0003653",2
"3419","contig0003654",5
"3420","contig0003655",3
"3421","contig0003656",2
"3422","contig0003657",7
"3423","contig0003658",4
"3424","contig0003659",6
"3425","contig0003660",6
"3426","contig0003661",7
"3427","contig0003662",4
"3428","contig0003663",4
"3429","contig0003664",2
"3430","contig0003665",1
"3431","contig0003666",7
"3432","contig0003667",6
"3433","contig0003668",4
"3434","contig0003669",3
"3435","contig0003670",6
"3436","contig0003671",8
"3437","contig0003672",4
"3438","contig0003673",3
"3439","contig0003674",6
"3440","contig0003675",12
"3441","contig0003676",7
"3442","contig0003677",4
"3443","contig0003678",5
"3444","contig0003679",5
"3445","contig0003680",6
"3446","contig0003681",4
"3447","contig0003682",4
"3448","contig0003683",5
"3449","contig0003685",8
"3450","contig0003686",3
"3451","contig0003687",7
"3452","contig0003688",1
"3453","contig0003689",5
"3454","contig0003690",6
"3455","contig0003691",10
"3456","contig0003692",5
"3457","contig0003693",5
"3458","contig0003694",5
"3459","contig0003695",3
"3460","contig0003696",6
"3461","contig0003697",6
"3462","contig0003698",2
"3463","contig0003699",2
"3464","contig0003700",4
"3465","contig0003701",3
"3466","contig0003702",7
"3467","contig0003703",5
"3468","contig0003704",4
"3469","contig0003705",5
"3470","contig0003706",4
"3471","contig0003707",7
"3472","contig0003708",4
"3473","contig0003709",7
"3474","contig0003710",2
"3475","contig0003711",5
"3476","contig0003712",1
"3477","contig0003713",2
"3478","contig0003714",6
"3479","contig0003716",3
"3480","contig0003717",3
"3481","contig0003718",11
"3482","contig0003719",3
"3483","contig0003720",2
"3484","contig0003721",2
"3485","contig0003722",4
"3486","contig0003724",2
"3487","contig0003725",1
"3488","contig0003726",10
"3489","contig0003728",2
"3490","contig0003729",7
"3491","contig0003730",5
"3492","contig0003731",4
"3493","contig0003732",2
"3494","contig0003733",5
"3495","contig0003734",3
"3496","contig0003735",6
"3497","contig0003736",3
"3498","contig0003737",8
"3499","contig0003738",4
"3500","contig0003739",5
"3501","contig0003740",3
"3502","contig0003741",1
"3503","contig0003742",7
"3504","contig0003744",6
"3505","contig0003745",5
"3506","contig0003746",6
"3507","contig0003747",3
"3508","contig0003748",5
"3509","contig0003749",3
"3510","contig0003750",7
"3511","contig0003751",3
"3512","contig0003752",4
"3513","contig0003753",5
"3514","contig0003755",5
"3515","contig0003756",2
"3516","contig0003757",2
"3517","contig0003758",7
"3518","contig0003759",6
"3519","contig0003760",5
"3520","contig0003761",7
"3521","contig0003762",4
"3522","contig0003763",3
"3523","contig0003764",4
"3524","contig0003765",3
"3525","contig0003766",2
"3526","contig0003767",6
"3527","contig0003768",3
"3528","contig0003769",5
"3529","contig0003770",4
"3530","contig0003771",2
"3531","contig0003772",7
"3532","contig0003773",4
"3533","contig0003774",3
"3534","contig0003775",5
"3535","contig0003776",1
"3536","contig0003777",2
"3537","contig0003778",4
"3538","contig0003779",3
"3539","contig0003780",2
"3540","contig0003781",2
"3541","contig0003782",7
"3542","contig0003783",8
"3543","contig0003784",4
"3544","contig0003785",5
"3545","contig0003786",6
"3546","contig0003787",7
"3547","contig0003788",9
"3548","contig0003789",6
"3549","contig0003790",4
"3550","contig0003791",4
"3551","contig0003792",3
"3552","contig0003793",4
"3553","contig0003794",5
"3554","contig0003795",2
"3555","contig0003796",3
"3556","contig0003797",5
"3557","contig0003798",5
"3558","contig0003799",7
"3559","contig0003800",3
"3560","contig0003801",3
"3561","contig0003802",1
"3562","contig0003803",8
"3563","contig0003804",6
"3564","contig0003805",3
"3565","contig0003806",1
"3566","contig0003807",4
"3567","contig0003808",5
"3568","contig0003809",1
"3569","contig0003810",3
"3570","contig0003811",5
"3571","contig0003812",4
"3572","contig0003814",4
"3573","contig0003815",4
"3574","contig0003816",6
"3575","contig0003817",3
"3576","contig0003818",6
"3577","contig0003819",3
"3578","contig0003820",3
"3579","contig0003821",4
"3580","contig0003822",3
"3581","contig0003823",3
"3582","contig0003824",8
"3583","contig0003825",4
"3584","contig0003826",4
"3585","contig0003827",1
"3586","contig0003828",6
"3587","contig0003830",1
"3588","contig0003831",4
"3589","contig0003832",6
"3590","contig0003833",6
"3591","contig0003834",6
"3592","contig0003835",5
"3593","contig0003836",4
"3594","contig0003837",4
"3595","contig0003838",2
"3596","contig0003839",4
"3597","contig0003840",2
"3598","contig0003841",7
"3599","contig0003842",4
"3600","contig0003843",1
"3601","contig0003844",9
"3602","contig0003845",5
"3603","contig0003846",3
"3604","contig0003847",4
"3605","contig0003848",2
"3606","contig0003849",7
"3607","contig0003850",3
"3608","contig0003851",4
"3609","contig0003852",4
"3610","contig0003853",3
"3611","contig0003854",2
"3612","contig0003855",1
"3613","contig0003856",4
"3614","contig0003857",2
"3615","contig0003858",6
"3616","contig0003859",8
"3617","contig0003860",5
"3618","contig0003861",5
"3619","contig0003862",6
"3620","contig0003863",2
"3621","contig0003864",7
"3622","contig0003865",10
"3623","contig0003866",7
"3624","contig0003867",5
"3625","contig0003868",4
"3626","contig0003869",5
"3627","contig0003870",5
"3628","contig0003871",5
"3629","contig0003872",3
"3630","contig0003873",3
"3631","contig0003874",4
"3632","contig0003875",5
"3633","contig0003876",8
"3634","contig0003877",3
"3635","contig0003878",4
"3636","contig0003879",3
"3637","contig0003880",2
"3638","contig0003881",7
"3639","contig0003882",4
"3640","contig0003883",1
"3641","contig0003884",3
"3642","contig0003885",6
"3643","contig0003886",5
"3644","contig0003887",4
"3645","contig0003888",8
"3646","contig0003889",7
"3647","contig0003890",3
"3648","contig0003891",5
"3649","contig0003892",4
"3650","contig0003893",5
"3651","contig0003894",4
"3652","contig0003895",5
"3653","contig0003896",8
"3654","contig0003897",3
"3655","contig0003898",5
"3656","contig0003899",5
"3657","contig0003900",6
"3658","contig0003901",5
"3659","contig0003902",3
"3660","contig0003903",3
"3661","contig0003904",2
"3662","contig0003905",7
"3663","contig0003906",3
"3664","contig0003907",3
"3665","contig0003908",5
"3666","contig0003909",5
"3667","contig0003910",8
"3668","contig0003911",1
"3669","contig0003912",4
"3670","contig0003913",3
"3671","contig0003914",2
"3672","contig0003915",4
"3673","contig0003916",3
"3674","contig0003917",8
"3675","contig0003918",4
"3676","contig0003919",5
"3677","contig0003920",3
"3678","contig0003921",6
"3679","contig0003922",3
"3680","contig0003923",3
"3681","contig0003924",12
"3682","contig0003926",3
"3683","contig0003927",10
"3684","contig0003928",6
"3685","contig0003929",1
"3686","contig0003930",9
"3687","contig0003931",4
"3688","contig0003933",4
"3689","contig0003934",6
"3690","contig0003935",7
"3691","contig0003936",8
"3692","contig0003937",4
"3693","contig0003938",7
"3694","contig0003939",1
"3695","contig0003940",4
"3696","contig0003941",4
"3697","contig0003942",2
"3698","contig0003943",4
"3699","contig0003944",3
"3700","contig0003945",4
"3701","contig0003946",6
"3702","contig0003947",4
"3703","contig0003948",2
"3704","contig0003949",6
"3705","contig0003950",5
"3706","contig0003951",2
"3707","contig0003952",9
"3708","contig0003953",5
"3709","contig0003955",6
"3710","contig0003956",1
"3711","contig0003957",4
"3712","contig0003959",4
"3713","contig0003960",4
"3714","contig0003961",2
"3715","contig0003962",7
"3716","contig0003963",7
"3717","contig0003964",4
"3718","contig0003965",6
"3719","contig0003966",2
"3720","contig0003967",5
"3721","contig0003968",2
"3722","contig0003969",7
"3723","contig0003970",3
"3724","contig0003971",4
"3725","contig0003972",3
"3726","contig0003973",3
"3727","contig0003974",7
"3728","contig0003975",5
"3729","contig0003976",6
"3730","contig0003977",1
"3731","contig0003978",2
"3732","contig0003979",6
"3733","contig0003980",3
"3734","contig0003981",5
"3735","contig0003982",4
"3736","contig0003983",1
"3737","contig0003984",3
"3738","contig0003985",4
"3739","contig0003986",5
"3740","contig0003987",5
"3741","contig0003988",5
"3742","contig0003989",6
"3743","contig0003990",4
"3744","contig0003991",5
"3745","contig0003992",5
"3746","contig0003993",3
"3747","contig0003994",4
"3748","contig0003995",3
"3749","contig0003996",1
"3750","contig0003997",4
"3751","contig0003998",1
"3752","contig0003999",5
"3753","contig0004000",4
"3754","contig0004001",1
"3755","contig0004002",3
"3756","contig0004003",5
"3757","contig0004004",4
"3758","contig0004005",4
"3759","contig0004006",8
"3760","contig0004007",1
"3761","contig0004008",4
"3762","contig0004009",5
"3763","contig0004010",6
"3764","contig0004011",14
"3765","contig0004012",6
"3766","contig0004013",4
"3767","contig0004014",5
"3768","contig0004015",3
"3769","contig0004016",5
"3770","contig0004017",6
"3771","contig0004018",4
"3772","contig0004019",4
"3773","contig0004020",1
"3774","contig0004021",1
"3775","contig0004022",5
"3776","contig0004023",3
"3777","contig0004024",4
"3778","contig0004025",9
"3779","contig0004026",8
"3780","contig0004027",4
"3781","contig0004028",8
"3782","contig0004029",7
"3783","contig0004030",2
"3784","contig0004031",3
"3785","contig0004032",5
"3786","contig0004033",3
"3787","contig0004034",8
"3788","contig0004035",6
"3789","contig0004036",2
"3790","contig0004037",4
"3791","contig0004038",3
"3792","contig0004039",5
"3793","contig0004040",3
"3794","contig0004041",7
"3795","contig0004042",3
"3796","contig0004043",1
"3797","contig0004044",4
"3798","contig0004045",1
"3799","contig0004046",4
"3800","contig0004047",5
"3801","contig0004048",7
"3802","contig0004049",6
"3803","contig0004050",4
"3804","contig0004051",4
"3805","contig0004052",2
"3806","contig0004053",5
"3807","contig0004055",3
"3808","contig0004056",5
"3809","contig0004057",2
"3810","contig0004058",5
"3811","contig0004059",2
"3812","contig0004060",13
"3813","contig0004061",5
"3814","contig0004062",6
"3815","contig0004063",3
"3816","contig0004065",3
"3817","contig0004066",5
"3818","contig0004067",2
"3819","contig0004068",3
"3820","contig0004069",5
"3821","contig0004070",2
"3822","contig0004071",4
"3823","contig0004072",5
"3824","contig0004073",4
"3825","contig0004075",7
"3826","contig0004076",5
"3827","contig0004077",4
"3828","contig0004078",6
"3829","contig0004079",3
"3830","contig0004080",2
"3831","contig0004081",4
"3832","contig0004082",5
"3833","contig0004083",2
"3834","contig0004084",1
"3835","contig0004085",1
"3836","contig0004086",4
"3837","contig0004087",4
"3838","contig0004088",5
"3839","contig0004089",3
"3840","contig0004090",4
"3841","contig0004091",3
"3842","contig0004092",6
"3843","contig0004093",7
"3844","contig0004094",7
"3845","contig0004095",7
"3846","contig0004096",4
"3847","contig0004097",2
"3848","contig0004098",1
"3849","contig0004099",4
"3850","contig0004100",6
"3851","contig0004101",5
"3852","contig0004102",5
"3853","contig0004103",9
"3854","contig0004104",4
"3855","contig0004105",2
"3856","contig0004106",4
"3857","contig0004107",5
"3858","contig0004108",5
"3859","contig0004109",3
"3860","contig0004110",4
"3861","contig0004111",3
"3862","contig0004112",2
"3863","contig0004113",1
"3864","contig0004114",2
"3865","contig0004115",3
"3866","contig0004116",3
"3867","contig0004117",9
"3868","contig0004118",3
"3869","contig0004119",4
"3870","contig0004120",4
"3871","contig0004121",1
"3872","contig0004122",6
"3873","contig0004123",5
"3874","contig0004124",4
"3875","contig0004125",2
"3876","contig0004126",3
"3877","contig0004127",4
"3878","contig0004128",1
"3879","contig0004129",6
"3880","contig0004130",3
"3881","contig0004131",4
"3882","contig0004132",9
"3883","contig0004133",3
"3884","contig0004134",3
"3885","contig0004135",3
"3886","contig0004136",4
"3887","contig0004137",5
"3888","contig0004138",6
"3889","contig0004139",3
"3890","contig0004140",2
"3891","contig0004141",3
"3892","contig0004142",8
"3893","contig0004143",8
"3894","contig0004144",4
"3895","contig0004145",4
"3896","contig0004146",3
"3897","contig0004147",7
"3898","contig0004148",3
"3899","contig0004149",2
"3900","contig0004150",5
"3901","contig0004151",7
"3902","contig0004152",1
"3903","contig0004154",4
"3904","contig0004155",9
"3905","contig0004156",3
"3906","contig0004157",6
"3907","contig0004158",2
"3908","contig0004159",6
"3909","contig0004160",4
"3910","contig0004161",7
"3911","contig0004162",1
"3912","contig0004163",4
"3913","contig0004164",3
"3914","contig0004165",6
"3915","contig0004166",3
"3916","contig0004167",4
"3917","contig0004168",9
"3918","contig0004169",3
"3919","contig0004170",8
"3920","contig0004171",5
"3921","contig0004172",7
"3922","contig0004173",3
"3923","contig0004174",4
"3924","contig0004175",3
"3925","contig0004176",4
"3926","contig0004177",7
"3927","contig0004178",6
"3928","contig0004179",5
"3929","contig0004180",6
"3930","contig0004181",3
"3931","contig0004182",1
"3932","contig0004183",4
"3933","contig0004184",3
"3934","contig0004185",2
"3935","contig0004186",2
"3936","contig0004187",5
"3937","contig0004188",2
"3938","contig0004189",5
"3939","contig0004190",6
"3940","contig0004191",2
"3941","contig0004192",4
"3942","contig0004193",1
"3943","contig0004194",2
"3944","contig0004195",3
"3945","contig0004196",3
"3946","contig0004197",5
"3947","contig0004198",8
"3948","contig0004199",10
"3949","contig0004200",5
"3950","contig0004201",6
"3951","contig0004202",6
"3952","contig0004203",7
"3953","contig0004204",3
"3954","contig0004205",1
"3955","contig0004206",1
"3956","contig0004207",5
"3957","contig0004208",5
"3958","contig0004209",4
"3959","contig0004210",2
"3960","contig0004211",4
"3961","contig0004212",4
"3962","contig0004213",4
"3963","contig0004214",3
"3964","contig0004215",4
"3965","contig0004216",5
"3966","contig0004217",4
"3967","contig0004218",4
"3968","contig0004219",2
"3969","contig0004220",10
"3970","contig0004221",7
"3971","contig0004222",4
"3972","contig0004223",8
"3973","contig0004224",4
"3974","contig0004225",5
"3975","contig0004226",3
"3976","contig0004227",5
"3977","contig0004228",4
"3978","contig0004229",4
"3979","contig0004230",3
"3980","contig0004231",4
"3981","contig0004232",4
"3982","contig0004233",5
"3983","contig0004234",3
"3984","contig0004235",2
"3985","contig0004236",4
"3986","contig0004237",4
"3987","contig0004238",5
"3988","contig0004239",2
"3989","contig0004240",6
"3990","contig0004241",1
"3991","contig0004242",5
"3992","contig0004244",3
"3993","contig0004245",5
"3994","contig0004246",5
"3995","contig0004247",1
"3996","contig0004248",5
"3997","contig0004249",2
"3998","contig0004250",4
"3999","contig0004251",5
"4000","contig0004252",5
"4001","contig0004253",8
"4002","contig0004254",2
"4003","contig0004255",1
"4004","contig0004256",2
"4005","contig0004257",1
"4006","contig0004258",6
"4007","contig0004259",8
"4008","contig0004260",4
"4009","contig0004261",3
"4010","contig0004262",4
"4011","contig0004263",2
"4012","contig0004264",5
"4013","contig0004265",3
"4014","contig0004266",1
"4015","contig0004267",5
"4016","contig0004268",5
"4017","contig0004269",1
"4018","contig0004270",5
"4019","contig0004271",4
"4020","contig0004272",4
"4021","contig0004273",6
"4022","contig0004274",2
"4023","contig0004275",6
"4024","contig0004276",2
"4025","contig0004277",3
"4026","contig0004278",6
"4027","contig0004279",2
"4028","contig0004280",4
"4029","contig0004281",6
"4030","contig0004282",4
"4031","contig0004283",5
"4032","contig0004284",6
"4033","contig0004285",2
"4034","contig0004286",4
"4035","contig0004287",7
"4036","contig0004288",5
"4037","contig0004289",5
"4038","contig0004290",2
"4039","contig0004291",4
"4040","contig0004292",2
"4041","contig0004293",3
"4042","contig0004294",5
"4043","contig0004295",5
"4044","contig0004297",3
"4045","contig0004298",3
