marker_name,LG,pos,Anchored_PhysicalMap,GO_function,GO_molecular
CmSNP01220 ,F ,17.3,Yes,  , 
CmSNP00296 ,F ,18.3,Yes,  , 
CmSI0724 ,F ,18.8, ,  , 
CmSNP00515 ,F ,19.4, ,  , 
CmSNP01523 ,F ,19.5,Yes,  , 
CmSNP00011 ,F ,19.8,Yes,  , 
CmSNP00510 ,F ,20.5, ,Yes ,Yes
CmSNP01362 ,F ,20.7, ,Yes , 
CmSNP00541 ,F ,21.1, ,Yes ,Yes
CmSNP00982 ,F ,21.2,Yes,Yes ,Yes
CmSNP00294 ,F ,21.5,Yes,  , 
CmSNP00746 ,F ,22.1,Yes,  , 
CmSNP01115 ,F ,23.4, ,Yes ,Yes
CmSNP00161 ,F ,24.1,Yes,  , 
CmSNP00084 ,F ,24.5, ,  , 
CmSI0888 ,F ,25.2, ,Yes ,Yes
CmSNP01296 ,F ,25.3,Yes,  , 
CmSI0507 ,F ,25.4,Yes,Yes ,Yes
CmSNP00025 ,F ,25.6, ,Yes ,Yes
CmSNP01485 ,F ,25.6, ,Yes ,Yes
CmSI0477 ,F ,25.7,Yes,Yes , 
CmSNP00749 ,F ,26.6,Yes,  , 
CmSI0332 ,F ,27,Yes,Yes ,Yes
CmSNP00167 ,F ,29.4,Yes,  , 
CmSI0781 ,F ,30.3, ,  , 
CmSNP00723 ,F ,30.9, ,  , 
CmSI0777 ,F ,31.3, ,  , 
CmSNP00592 ,F ,35.2, ,Yes ,Yes
CmSNP01200 ,F ,36.8,Yes,Yes ,Yes
CmSI0894 ,F ,37.5, ,  , 
CmSNP00475 ,F ,38.2,Yes,  , 
CmSI0085 ,F ,38.6,Yes,Yes ,Yes
CmSNP01509 ,F ,39.9,Yes,  , 
CmSNP01082 ,F ,41.6,Yes,  , 
CmSNP00121 ,F ,41.9,Yes,  , 
CmSNP00237 ,F ,44.6, ,  , 
CmSNP01313 ,F ,45.6, ,  , 
CmSNP01023 ,F ,46.8, ,  , 
CmSNP01333 ,F ,53.1,Yes,  , 
CmSNP01469 ,F ,54.7,Yes,Yes ,Yes
CmSNP00301 ,F ,59.7,Yes,Yes ,Yes
CmSNP00231 ,G ,0, ,  , 
CmSNP00406 ,G ,2,Yes,Yes ,Yes
CmSNP00925 ,G ,3.1, ,  , 
CmSNP00067 ,G ,3.5, ,  , 
CmSI0830 ,G ,13, ,  , 
CmSNP00096 ,G ,24,Yes,Yes ,Yes
CmSNP00529 ,G ,24.2, ,Yes , 
CmSNP00840 ,G ,25.9, ,  , 
CmSNP00168 ,G ,26.2, ,  , 
CmSNP00906 ,G ,26.4, ,  , 
CmSNP00965 ,G ,26.9,Yes,  , 
CmSI0212 ,G ,27.2,Yes,  , 
CmSNP00632 ,G ,27.4,Yes,  , 
CmSNP01091 ,G ,27.5, ,Yes ,Yes
CmSNP01460 ,G ,27.6,Yes,Yes ,Yes
CmSNP00106 ,G ,27.7, ,  , 
CmSI0749 ,G ,27.8, ,  , 
CmSNP00509 ,G ,29.2,Yes,  , 
CmSNP01408 ,G ,29.8, ,  , 
CmSNP00305 ,G ,29.9, ,  , 
CmSNP00198 ,G ,30,Yes,Yes ,Yes
CmSNP00997 ,G ,30.3,Yes,Yes ,Yes
CmSNP00466 ,G ,30.5,Yes,Yes ,Yes
CmSNP00457 ,G ,30.7, ,  , 
CmSNP00118 ,G ,31.1,Yes,  , 
CmSNP01397 ,G ,31.7,Yes,  , 
CmSNP00910 ,G ,32.3, ,  , 
CmSNP00913 ,G ,33.4, ,Yes ,Yes
CmSNP00884 ,G ,33.9,Yes,  , 
CmSNP01379 ,G ,33.9,Yes,  , 
CmSNP01412 ,G ,34.6, ,Yes ,Yes
CmSI0754 ,G ,34.6,Yes,  , 
CmSNP01108 ,G ,34.8, ,Yes ,Yes
CmSNP00411 ,G ,35.1, ,  , 
CmSNP01309 ,G ,35.4, ,Yes ,Yes
CmSNP01295 ,G ,35.6, ,  , 
CmSNP00134 ,G ,35.7,Yes,Yes ,Yes
CmSNP01186 ,G ,35.7,Yes,Yes ,Yes
CmSI0003 ,G ,35.7, ,  , 
CmSNP00275 ,G ,35.7,Yes,Yes , 
CmSNP00335 ,G ,35.7,Yes,  , 
CmSNP00937 ,G ,35.7, ,  , 
CmSNP01136 ,G ,35.7,Yes,  , 
CmSNP01148 ,G ,35.7, ,  , 
CmSNP00938 ,G ,35.8,Yes,  , 
CmSNP00415 ,G ,35.9,Yes,Yes , 
CmSI0064 ,G ,36, ,  , 
CmSI0293 ,G ,36,Yes,  , 
CmSI0614 ,G ,36, ,  , 
CmSI0658 ,G ,36, ,  , 
CmSNP01355 ,G ,36.3, ,Yes ,Yes
CmSNP00700 ,G ,36.3, ,  , 
CmSNP00811 ,G ,36.4,Yes,  , 
CmSI0576 ,G ,36.7,Yes,  , 
CmSNP00672 ,G ,36.7,Yes,Yes , 
CmSNP01226 ,G ,37.4,Yes,Yes ,Yes
CmSNP00127 ,G ,37.4,Yes,  , 
CmSI0816 ,G ,37.5, ,  , 
CmSNP00882 ,G ,37.5, ,  , 
CmSNP01418 ,G ,37.5, ,  , 
CmSNP01206 ,G ,38.2, ,Yes , 
CmSNP01350 ,G ,39.5, ,  , 
CmSNP00075 ,G ,39.8,Yes,Yes ,Yes
CmSNP00988 ,G ,40.2, ,  , 
CmSI0925 ,G ,40.8, ,  , 
CmSI0717 ,G ,42.2, ,  , 
CmSNP00528 ,G ,42.2, ,  , 
CmSNP00238 ,G ,42.4, ,Yes , 
CmSNP00185 ,G ,43.2,Yes,  , 
CmSNP00341 ,G ,43.3,Yes,  , 
CmSNP00582 ,G ,45.7, ,Yes , 
CmSNP01440 ,G ,49, ,  , 
CmSNP00468 ,G ,51.6, ,  , 
CmSNP00348 ,G ,60.9,Yes,Yes ,Yes
CmSNP01155 ,G ,62.5,Yes,  , 
CmSNP01497 ,H ,0, ,Yes , 
CmSNP00430 ,H ,1.3,Yes,Yes , 
CmSI0858 ,H ,3.5, ,  , 
CmSNP00188 ,H ,5.2,Yes,  , 
CmSNP00091 ,H ,5.4,Yes,  , 
CmSNP00257 ,H ,6.6,Yes,  , 
CmSNP00820 ,H ,7, ,  , 
CmSNP00193 ,H ,7.3, ,  , 
CmSI0831 ,H ,7.8, ,  , 
CmSNP00530 ,H ,8,Yes,Yes , 
CmSI0272 ,H ,8.2,Yes,Yes ,Yes
CmSNP00839 ,H ,8.4, ,  , 
CmSNP01120 ,H ,8.4,Yes,  , 
CmSNP01087 ,H ,8.6,Yes,  , 
CmSI0660 ,H ,8.9, ,Yes , 
CmSNP00054 ,H ,9.1, ,  , 
CmSI0588 ,H ,9.4,Yes,Yes ,Yes
CmSNP00741 ,H ,9.9, ,  , 
CmSNP01233 ,H ,10.2, ,Yes ,Yes
CmSNP00053 ,H ,10.2, ,  , 
CmSNP01043 ,H ,10.2, ,  , 
CmSNP01193 ,H ,10.5, ,Yes ,Yes
CmSNP01254 ,H ,10.8,Yes,  , 
CmSI0696 ,H ,10.9, ,  , 
CmSNP01110 ,H ,11.2, ,  , 
CmSNP00107 ,H ,11.7, ,  , 
CmSNP00243 ,H ,11.7,Yes,  , 
CmSNP01117 ,H ,11.7,Yes,  , 
CmSNP01344 ,H ,11.8, ,Yes ,Yes
CmSNP01232 ,H ,12.2,Yes,Yes ,Yes
CmSNP00099 ,H ,12.2, ,  , 
CmSI0531 ,H ,13.5, ,  , 
CmSI0532 ,H ,13.6, ,  , 
CmSNP00721 ,H ,13.8,Yes,Yes , 
CmSNP00789 ,H ,13.8, ,  , 
CmSNP00687 ,H ,13.9, ,  , 
CmSNP01276 ,H ,14,Yes,  , 
CmSI0940 ,H ,14.5, ,  , 
CmSNP01341 ,H ,14.8, ,Yes ,Yes
CmSI0490 ,H ,14.9,Yes,  , 
CmSI0549 ,H ,16.1,Yes,  , 
CmSI0878 ,H ,16.2, ,  , 
CmSNP01322 ,H ,16.4, ,  , 
CmSNP00404 ,H ,17.1, ,Yes ,Yes
CmSI0594 ,H ,17.2,Yes,  , 
CmSI0381 ,H ,17.5,Yes,  , 
CmSI0591 ,H ,18.5,Yes,  , 
CmSNP00088 ,H ,19.5, ,Yes ,Yes
CmSNP00208 ,H ,19.6,Yes,Yes ,Yes
CmSI0905 ,H ,19.8, ,  , 
CmSNP00887 ,H ,19.8,Yes,  , 
CmSI0834 ,H ,20, ,Yes , 
CmSNP00481 ,H ,20.1,Yes,Yes ,Yes
CmSNP00683 ,H ,20.2, ,Yes , 
CmSNP00808 ,H ,20.2, ,  , 
CmSNP01329 ,H ,20.5,Yes,  , 
CmSNP01008 ,H ,20.6, ,  , 
CmSNP00080 ,H ,20.9, ,Yes ,Yes
CmSI0630 ,H ,21.4,Yes,Yes , 
CmSNP00503 ,H ,21.4,Yes,  , 
CmSNP01107 ,H ,21.5,Yes,Yes , 
CmSNP00383 ,H ,22.3, ,  , 
CmSNP01047 ,H ,22.6, ,  , 
CmSI0083 ,H ,22.9,Yes,  , 
CmSNP00141 ,H ,23.3, ,  , 
CmSNP00870 ,H ,23.5,Yes,  , 
CmSNP01093 ,H ,23.6, ,  , 
CmSNP01218 ,H ,24.3, ,Yes , 
CmSI0031 ,H ,25.3,Yes,Yes ,Yes
CmSNP00225 ,H ,25.4,Yes,  , 
CmSI0596 ,H ,25.7,Yes,Yes ,Yes
CmSNP00916 ,H ,26,Yes,Yes ,Yes
CmSNP01297 ,H ,26.1, ,  , 
CmSI0551 ,H ,26.3,Yes,  , 
CmSNP00837 ,H ,26.7, ,  , 
CmSNP00062 ,H ,27.3,Yes,Yes ,Yes
CmSNP01373 ,H ,28.8,Yes,  , 
CmSI0750 ,H ,31.2, ,  , 
CmSI0705 ,H ,31.5, ,  , 
CmSNP01393 ,H ,31.7, ,Yes , 
CmSNP01518 ,H ,32.2, ,Yes , 
CmSNP00947 ,H ,32.3, ,  , 
CmSNP00454 ,H ,32.6, ,  , 
CmSNP00853 ,H ,36.3,Yes,  , 
CmSNP00332 ,H ,36.8, ,  , 
CmSNP00516 ,H ,36.8,Yes,  , 
CmSNP01354 ,H ,36.8,Yes,  , 
CmSI0849 ,H ,37.8, ,  , 
CmSI0780 ,H ,38.2, ,  , 
CmSI0686 ,H ,38.8, ,  , 
CmSNP00491 ,H ,39.5, ,  , 
CmSNP00028 ,H ,40.4,Yes,  , 
CmSNP00064 ,H ,40.7,Yes,  , 
CmSI0710 ,H ,40.9, ,  , 
CmSNP00343 ,H ,41.1,Yes,Yes ,Yes
CmSNP01013 ,H ,41.1, ,  , 
CmSI0848 ,H ,41.2, ,  , 
CmSNP00566 ,H ,42.4, ,  , 
CmSNP00007 ,H ,43.1, ,Yes ,Yes
CmSNP01447 ,H ,44.8, ,  , 
CmSI0589 ,H ,46,Yes,  , 
CmSNP00931 ,H ,46.5,Yes,  , 
CmSNP01227 ,H ,46.6,Yes,  , 
CmSNP01461 ,H ,49.2, ,  , 
CmSI0437 ,H ,49.4,Yes,  , 
CmSNP00187 ,H ,50.2,Yes,  , 
CmSNP00131 ,H ,52.3, ,  , 
CmSNP01096 ,H ,52.3, ,Yes , 
CmSNP00434 ,H ,56.9,Yes,Yes ,Yes
CmSI0556 ,H ,57.2,Yes,  , 
CmSNP01514 ,H ,57.5, ,  , 
CmSI0028 ,H ,58.7,Yes,  , 
CmSI0680 ,H ,59.4, ,  , 
CmSNP00325 ,H ,59.7,Yes,  , 
CmSNP01224 ,H ,60.6, ,  , 
CmSNP00060 ,I ,0, ,  , 
CmSNP00872 ,I ,1.2, ,Yes ,Yes
CmSNP00559 ,I ,2.4, ,  , 
CmSNP00676 ,I ,2.4,Yes,  , 
CmSNP01345 ,I ,4.9,Yes,  , 
CmSNP00568 ,I ,5.4, ,Yes ,Yes
CmSNP01015 ,I ,5.5, ,  , 
CmSNP00876 ,I ,6.8,Yes,  , 
CmSNP00300 ,I ,7.1, ,Yes ,Yes
CmSI0855 ,I ,7.1, ,  , 
CmSI0517 ,I ,7.3,Yes,Yes ,Yes
CmSNP01299 ,I ,8.1, ,Yes , 
CmSNP01049 ,I ,8.4,Yes,  , 
CmSNP01394 ,I ,10.9,Yes,Yes ,Yes
CmSI0562 ,I ,12.3,Yes,Yes ,Yes
CmSI0716 ,I ,12.7, ,  , 
CmSNP01210 ,I ,12.7, ,  , 
CmSNP00252 ,I ,13.6, ,  , 
CmSI0024 ,I ,13.7, ,  , 
CmSNP00170 ,I ,14, ,Yes ,Yes
CmSNP00726 ,I ,14.1, ,  , 
CmSNP00919 ,I ,14.1, ,  , 
CmSNP01069 ,I ,14.1, ,  , 
CmSNP00299 ,I ,14.2, ,Yes ,Yes
CmSNP00183 ,I ,14.2,Yes,  , 
CmSNP01491 ,I ,14.2, ,  , 
CmSNP00149 ,I ,14.6,Yes,Yes ,Yes
CmSNP00546 ,I ,15.6, ,  , 
CmSNP00456 ,I ,16.6,Yes,  , 
CmSNP00089 ,I ,17.3,Yes,  , 
CmSNP00537 ,I ,17.4,Yes,  , 
CmSI0526 ,I ,17.7,Yes,Yes , 
CmSNP01123 ,I ,18.1, ,Yes , 
CmSNP00778 ,I ,18.2,Yes,  , 
CmSNP00641 ,I ,18.3, ,Yes ,Yes
CmSNP00081 ,I ,18.3, ,Yes , 
CmSNP01111 ,I ,18.4,Yes,Yes ,Yes
CmSNP00833 ,I ,18.7,Yes,  , 
CmSNP01169 ,I ,18.7, ,  , 
CmSNP00162 ,I ,19, ,  , 
CmSNP01273 ,I ,19.2, ,Yes ,Yes
CmSNP01190 ,I ,19.3, ,Yes ,Yes
CmSI0539 ,I ,20.2,Yes,  , 
CmSNP01482 ,I ,20.6,Yes,  , 
CmSNP00302 ,I ,21,Yes,  , 
CmSNP00313 ,I ,21.2,Yes,Yes , 
CmSNP00900 ,I ,21.2,Yes,Yes , 
CmSNP01040 ,I ,21.2, ,  , 
CmSI0762 ,I ,21.3, ,  , 
CmSI0735 ,I ,21.5,Yes,Yes ,Yes
CmSI0513 ,I ,21.6,Yes,  , 
CmSNP00103 ,I ,22.1, ,Yes ,Yes
CmSNP00078 ,I ,22.1,Yes,Yes , 
CmSI0362 ,I ,22.3,Yes,  , 
CmSNP00706 ,I ,22.4, ,  , 
CmSNP01075 ,I ,22.5, ,Yes ,Yes
CmSNP00593 ,I ,22.6,Yes,  , 
CmSI0564 ,I ,22.9,Yes,Yes ,Yes
CmSNP00270 ,I ,23.1,Yes,  , 
CmSNP01159 ,I ,23.4,Yes,  , 
CmSNP01284 ,I ,23.8, ,  , 
CmSNP00784 ,I ,24, ,Yes ,Yes
CmSNP00196 ,I ,24.1, ,Yes ,Yes
CmSNP00511 ,I ,24.7,Yes,Yes ,Yes
CmSNP00142 ,I ,25.1,Yes,Yes ,Yes
CmSI0069 ,I ,25.1,Yes,  , 
CmSNP00796 ,I ,25.2,Yes,  , 
CmSI0744 ,I ,25.5, ,  , 
CmSNP00605 ,I ,25.7, ,  , 
CmSNP00159 ,I ,26.3,Yes,Yes , 
CmSNP00014 ,I ,26.7, ,Yes ,Yes
CmSNP00675 ,I ,27.1,Yes,Yes ,Yes
CmSI0933 ,I ,27.8, ,Yes ,Yes
CmSNP00806 ,I ,28, ,  , 
CmSI0506 ,I ,30.7,Yes,  , 
CmSI0841 ,I ,33.6, ,  , 
CmSNP00126 ,I ,33.7,Yes,Yes ,Yes
CmSI0729 ,I ,35.8, ,  , 
CmSI0797 ,I ,36.5, ,  , 
CmSNP00702 ,I ,37.4, ,Yes ,Yes
CmSNP01167 ,I ,37.5, ,Yes ,Yes
CmSNP01361 ,I ,38.3, ,  , 
CmSNP00213 ,I ,38.9,Yes,  , 
CmSNP00619 ,I ,40.4, ,Yes ,Yes
CmSNP01116 ,I ,40.7,Yes,Yes , 
CmSNP00073 ,I ,42.1,Yes,Yes , 
CmSNP00247 ,I ,44.9,Yes,Yes ,Yes
CmSI0751 ,I ,47, ,  , 
CmSNP01282 ,I ,48.8,Yes,Yes , 
CmSNP01448 ,I ,50.3,Yes,  , 
CmSNP01480 ,I ,52.1, ,  , 
CmSNP01046 ,I ,53.4,Yes,Yes , 
CmSNP01230 ,I ,53.7, ,Yes ,Yes
CmSNP01419 ,I ,54.7, ,Yes , 
CmSNP00594 ,J ,0, ,Yes ,Yes
CmSNP00393 ,J ,3.1, ,Yes ,Yes
CmSNP00597 ,J ,3.4, ,Yes ,Yes
CmSNP00591 ,J ,4.2, ,  , 
CmSNP01417 ,J ,12.5, ,Yes , 
CmSNP00146 ,J ,17.4, ,  , 
CmSNP01223 ,J ,19.8, ,Yes ,Yes
CmSNP01231 ,J ,20.2, ,  , 
CmSNP01214 ,J ,21.4, ,  , 
CmSNP01502 ,J ,21.5,Yes,Yes ,Yes
CmSI0094 ,J ,24.6,Yes,  , 
CmSNP00471 ,J ,25.1, ,  , 
CmSNP00653 ,J ,27.4, ,Yes ,Yes
CmSNP01474 ,J ,27.7,Yes,Yes ,Yes
CmSI0538 ,J ,28.1,Yes,  , 
CmSNP00321 ,J ,29, ,Yes , 
CmSNP00644 ,J ,30.3,Yes,  , 
CmSNP01158 ,J ,30.9,Yes,Yes , 
CmSI0401 ,J ,31.4,Yes,  , 
CmSNP00375 ,J ,32.3, ,Yes , 
CmSNP00398 ,J ,32.4,Yes,Yes ,Yes
CmSNP00403 ,J ,32.6, ,  , 
CmSNP01459 ,J ,33.1,Yes,  , 
CmSNP00987 ,J ,33.2, ,  , 
CmSNP00359 ,J ,33.7, ,  , 
CmSNP00485 ,J ,33.9,Yes,  , 
CmSI0726 ,J ,34.7, ,  , 
CmSNP00708 ,J ,34.9,Yes,Yes , 
CmSNP00037 ,J ,35,Yes,Yes , 
CmSNP00379 ,J ,35,Yes,Yes , 
CmSNP00634 ,J ,35.2, ,  , 
CmSNP00705 ,J ,36.3,Yes,Yes , 
CmSNP00261 ,J ,36.6, ,  , 
CmSNP01291 ,J ,36.6, ,  , 
CmSNP01084 ,J ,36.7,Yes,Yes , 
CmSNP00033 ,J ,36.8,Yes,Yes ,Yes
CmSNP00120 ,J ,36.8, ,Yes ,Yes
CmSNP00828 ,J ,36.8,Yes,Yes , 
CmSNP00664 ,J ,36.9, ,Yes ,Yes
CmSNP01166 ,J ,37.1, ,Yes ,Yes
CmSNP00797 ,J ,37.1,Yes,  , 
CmSNP00482 ,J ,37.5, ,  , 
CmSNP00651 ,J ,37.7, ,Yes ,Yes
CmSNP00993 ,J ,37.7, ,Yes ,Yes
CmSNP01248 ,J ,37.7, ,Yes ,Yes
CmSNP00976 ,J ,37.7,Yes,  , 
CmSNP01024 ,J ,38,Yes,Yes ,Yes
CmSNP00666 ,J ,38.3, ,  , 
CmSNP00760 ,J ,38.7,Yes,  , 
CmSNP01489 ,J ,39.2, ,  , 
CmSI0740 ,J ,39.5, ,  , 
CmSNP00224 ,J ,39.6,Yes,  , 
CmSNP00023 ,J ,39.7,Yes,  , 
CmSNP00518 ,J ,39.9, ,Yes ,Yes
CmSNP00633 ,J ,40.1, ,  , 
CmSNP01194 ,J ,40.3, ,  , 
CmSNP01304 ,J ,40.3,Yes,  , 
CmSNP00389 ,J ,40.8,Yes,Yes ,Yes
CmSNP00445 ,J ,40.8, ,  , 
CmSNP00443 ,J ,41, ,  , 
CmSNP00474 ,J ,41, ,  , 
CmSNP00846 ,J ,41,Yes,  , 
CmSNP01215 ,J ,41.7, ,  , 
CmSI0009 ,J ,41.9,Yes,  , 
CmSNP00232 ,J ,42.4,Yes,  , 
CmSNP00179 ,J ,42.8,Yes,Yes , 
CmSNP00255 ,J ,43, ,Yes ,Yes
CmSNP00076 ,J ,43.2,Yes,  , 
CmSNP00467 ,J ,43.2, ,  , 
CmSI0932 ,J ,43.5, ,  , 
CmSNP00245 ,J ,43.6, ,Yes , 
CmSNP00177 ,J ,44,Yes,Yes ,Yes
CmSNP01006 ,J ,44.6,Yes,  , 
CmSI0524 ,J ,44.9,Yes,  , 
CmSNP00241 ,J ,45.9, ,  , 
CmSNP01076 ,J ,46.7, ,Yes ,Yes
CmSNP00553 ,J ,47.4,Yes,  , 
CmSI0732 ,J ,47.9, ,  , 
CmSI0919 ,J ,48.1, ,  , 
CmSI0911 ,J ,48.6, ,Yes ,Yes
CmSNP00093 ,J ,49.6,Yes,Yes ,Yes
CmSNP01431 ,J ,50.1, ,  , 
CmSNP01022 ,J ,50.5, ,  , 
CmSI0153 ,J ,51.1,Yes,  , 
CmSNP00691 ,J ,53.3, ,  , 
CmSI0523 ,J ,54.4,Yes,  , 
CmSNP00669 ,J ,55, ,  , 
CmSI0414 ,J ,55.3,Yes,  , 
CmSI0654 ,J ,55.3, ,  , 
CmSNP00827 ,J ,55.4, ,Yes ,Yes
CmSI0600 ,J ,55.4, ,  , 
CmSNP00043 ,J ,56.1, ,Yes , 
CmSNP00745 ,J ,56.2,Yes,Yes ,Yes
CmSI0811 ,J ,56.7, ,Yes , 
CmSNP01528 ,J ,57.4,Yes,  , 
CmSI0946 ,J ,57.8,Yes,  , 
CmSNP00703 ,J ,58.3,Yes,Yes , 
CmSI0759 ,K ,0, ,  , 
CmSI0656 ,K ,5.6, ,Yes ,Yes
CmSNP00858 ,K ,5.7, ,  , 
CmSI0327 ,K ,5.8, ,Yes ,Yes
CmSNP01356 ,K ,10,Yes,  , 
CmSI0819 ,K ,11.6, ,  , 
CmSNP00903 ,K ,11.6, ,  , 
CmSNP00731 ,K ,16,Yes,  , 
CmSI0814 ,K ,17.6, ,Yes ,Yes
CmSNP01464 ,K ,18, ,  , 
CmSNP00657 ,K ,18.9, ,  , 
CmSI0678 ,K ,19.3, ,  , 
CmSI0494 ,K ,19.5,Yes,  , 
CmSI0611 ,K ,20.1,Yes,Yes ,Yes
CmSNP01041 ,K ,20.1,Yes,  , 
CmSNP00197 ,K ,20.3, ,  , 
CmSNP00112 ,K ,20.9,Yes,  , 
CmSNP00364 ,K ,20.9,Yes,Yes , 
CmSNP01147 ,K ,20.9, ,Yes , 
CmSNP01318 ,K ,21.3, ,Yes , 
CmSNP00408 ,K ,21.6, ,Yes ,Yes
CmSNP00757 ,K ,21.7,Yes,  , 
CmSNP01501 ,K ,22.1,Yes,Yes , 
CmSNP00499 ,K ,22.5, ,  , 
CmSI0752 ,K ,22.7, ,  , 
CmSNP01139 ,K ,23.8, ,Yes , 
CmSNP01157 ,K ,23.8,Yes,  , 
CmSNP01384 ,K ,23.8,Yes,  , 
CmSNP00211 ,K ,24,Yes,Yes ,Yes
CmSNP00386 ,K ,24.1, ,  , 
CmSNP01478 ,K ,24.1, ,  , 
CmSNP00381 ,K ,25, ,  , 
CmSI0542 ,K ,27.7,Yes,  , 
CmSNP00212 ,K ,28, ,Yes ,Yes
CmSNP00545 ,K ,28.1, ,  , 
CmSNP01262 ,K ,28.4, ,Yes ,Yes
CmSNP00452 ,K ,28.4, ,Yes , 
CmSNP00781 ,K ,28.5,Yes,Yes ,Yes
CmSNP00860 ,K ,29.9,Yes,Yes , 
CmSNP00035 ,K ,30,Yes,  , 
CmSI0794 ,K ,30.4, ,  , 
CmSI0460 ,K ,30.8,Yes,  , 
CmSNP01495 ,K ,32.4, ,Yes , 
CmSNP00868 ,K ,32.6,Yes,Yes ,Yes
CmSNP01133 ,K ,33.7, ,Yes ,Yes
CmSI0853 ,K ,34.8,Yes,  , 
CmSNP00470 ,K ,36,Yes,  , 
CmSNP01065 ,K ,36, ,  , 
CmSI0813 ,K ,36.6, ,  , 
CmSNP00421 ,K ,36.8,Yes,  , 
CmSNP00480 ,K ,37.5,Yes,  , 
CmSNP01202 ,K ,37.5, ,  , 
CmSI0123 ,K ,38.4,Yes,  , 
CmSI0637 ,K ,38.4,Yes,  , 
CmSNP00071 ,K ,38.6, ,  , 
CmSNP01409 ,K ,39.8,Yes,Yes , 
CmSNP00989 ,K ,40.2,Yes,  , 
CmSNP00292 ,K ,40.4, ,  , 
CmSI0920 ,K ,43, ,  , 
CmSI0901 ,K ,43.1, ,  , 
CmSNP00590 ,K ,45.5,Yes,  , 
CmSNP00391 ,K ,45.6,Yes,  , 
CmSNP00526 ,K ,47.9, ,  , 
CmSNP00572 ,K ,48,Yes,  , 
CmSNP01398 ,K ,48.2, ,  , 
CmSNP01352 ,K ,48.4, ,Yes , 
CmSNP00638 ,K ,48.5, ,  , 
CmSNP01308 ,K ,48.6,Yes,Yes ,Yes
CmSNP00832 ,K ,48.7,Yes,  , 
CmSNP00951 ,K ,49,Yes,Yes ,Yes
CmSNP00750 ,K ,49.2, ,  , 
CmSI0921 ,K ,49.5, ,  , 
CmSI0361 ,K ,50.1,Yes,Yes , 
CmSI0373 ,K ,50.1,Yes,Yes , 
CmSNP00821 ,K ,50.4,Yes,Yes , 
CmSI0922 ,K ,50.6, ,  , 
CmSNP00008 ,K ,51.3, ,  , 
CmSI0771 ,K ,51.4, ,Yes ,Yes
CmSI0433 ,K ,52.2, ,Yes ,Yes
CmSI0432 ,K ,52.7,Yes,Yes ,Yes
CmSI0737 ,K ,54.7, ,Yes ,Yes
CmSNP00447 ,K ,55.9, ,  , 
CmSNP01535 ,K ,59.6,Yes,Yes ,Yes
CmSNP00222 ,K ,60.1,Yes,  , 
CmSNP00674 ,K ,60.4,Yes,Yes ,Yes
CmSNP00085 ,K ,60.6, ,  , 
CmSI0760 ,K ,61.2, ,  , 
CmSI0668 ,L ,0,Yes,  , 
CmSNP00803 ,L ,1.5, ,Yes ,Yes
CmSNP00234 ,L ,2.7,Yes,Yes , 
CmSNP00352 ,L ,3.6, ,  , 
CmSNP00812 ,L ,4.1,Yes,  , 
CmSNP00396 ,L ,4.5, ,  , 
CmSNP00282 ,L ,4.9,Yes,  , 
CmSNP00108 ,L ,6.3,Yes,  , 
CmSNP00130 ,L ,6.8,Yes,  , 
CmSNP00711 ,L ,8, ,  , 
CmSNP01089 ,L ,8.3, ,  , 
CmSNP00861 ,L ,9.6, ,Yes ,Yes
CmSNP00202 ,L ,10.7, ,  , 
CmSNP00795 ,L ,12.2,Yes,  , 
CmSNP00904 ,L ,12.2, ,  , 
CmSNP01377 ,L ,12.7,Yes,Yes ,Yes
CmSNP01079 ,L ,12.9, ,  , 
CmSNP00377 ,L ,13.2,Yes,  , 
CmSNP00901 ,L ,15, ,  , 
CmSNP01336 ,L ,15.6,Yes,Yes ,Yes
CmSI0875 ,L ,16, ,  , 
CmSNP00737 ,L ,16,Yes,  , 
CmSI0785 ,L ,16.4, ,  , 
CmSNP00704 ,L ,17.7,Yes,  , 
CmSNP01156 ,L ,18.2,Yes,Yes , 
CmSNP01061 ,L ,18.3, ,  , 
CmSI0572 ,L ,18.9,Yes,  , 
CmSNP01205 ,L ,19.5,Yes,  , 
CmSNP00102 ,L ,19.8, ,Yes , 
CmSNP00483 ,L ,19.8, ,  , 
CmSNP00790 ,L ,20,Yes,  , 
CmSNP00543 ,L ,21.9,Yes,  , 
CmSNP01004 ,L ,22.3,Yes,Yes ,Yes
CmSI0503 ,L ,22.5,Yes,  , 
CmSI0045 ,L ,22.7,Yes,  , 
CmSNP00935 ,L ,23.2, ,Yes ,Yes
CmSNP01319 ,L ,23.3,Yes,Yes ,Yes
CmSNP01451 ,L ,23.3, ,Yes ,Yes
CmSI0847 ,L ,24, ,  , 
CmSNP00115 ,L ,24.8, ,  , 
CmSI0249 ,L ,25.3,Yes,  , 
CmSNP00164 ,L ,26,Yes,  , 
CmSNP00869 ,L ,26,Yes,  , 
CmSNP00966 ,L ,26,Yes,  , 
CmSNP01172 ,L ,26.7,Yes,  , 
CmSNP01183 ,L ,26.9, ,Yes ,Yes
CmSNP00579 ,L ,27, ,  , 
CmSNP01401 ,L ,27.4,Yes,  , 
CmSNP01170 ,L ,27.8,Yes,Yes ,Yes
CmSNP00918 ,L ,28, ,  , 
CmSNP01236 ,L ,28, ,Yes , 
